Rok,KWP,Województwo,target_mortality_rate,male_pct,education_higher_pct,youth_pct,young_adult_pct,middle_age_pct,senior_pct,SES_instability_index,substances_pct,institution_contact_pct,weekend_pct
2017,Dolnośląskie,Dolnośląskie,0.5627,0.8133,0.0205,0.0614,0.3338,0.422,0.1829,-0.1688,0.491,0.1407,0.2864
2017,Kujawsko-Pomorskie,Kujawsko-Pomorskie,0.6416,0.8208,0.0104,0.0468,0.2961,0.4078,0.2468,-0.2338,0.4519,0.1169,0.3039
2017,Lubelskie,Lubelskie,0.5943,0.8079,0.0233,0.0539,0.2855,0.4506,0.2101,-0.2388,0.5583,0.1652,0.2729
2017,Lubuskie,Lubuskie,0.5764,0.809,0.0139,0.0521,0.3194,0.3958,0.2326,-0.1979,0.4549,0.1215,0.2569
2017,Mazowieckie,Mazowieckie,0.6712,0.8342,0.0308,0.058,0.2899,0.4103,0.2409,-0.2328,0.4755,0.1368,0.2699
2017,Małopolskie,Małopolskie,0.4047,0.6989,0.0254,0.0762,0.2991,0.4389,0.1838,-0.2317,0.5826,0.1554,0.2962
2017,Opolskie,Opolskie,0.5385,0.812,0.0128,0.0427,0.3547,0.4615,0.141,-0.2137,0.6838,0.1709,0.2949
2017,Podkarpackie,Podkarpackie,0.4914,0.8,0.0259,0.0586,0.3241,0.4448,0.1724,-0.2483,0.6759,0.2328,0.2983
2017,Podlaskie,Podlaskie,0.408,0.7385,0.0259,0.0833,0.3362,0.4282,0.1494,-0.1868,0.6839,0.2126,0.3075
2017,Pomorskie,Pomorskie,0.5417,0.7376,0.029,0.0954,0.3032,0.414,0.184,-0.1516,0.4634,0.1107,0.2964
2017,Warmińsko-Mazurskie,Warmińsko-Mazurskie,0.4014,0.7567,0.0213,0.0782,0.3712,0.3961,0.1545,-0.167,0.6092,0.1083,0.2913
2017,Wielkopolskie,Wielkopolskie,0.6062,0.8274,0.0133,0.0501,0.2965,0.4528,0.1991,-0.2802,0.5074,0.1667,0.2832
2017,Zachodniopomorskie,Zachodniopomorskie,0.5343,0.794,0.0172,0.0472,0.3133,0.4227,0.2146,-0.2103,0.5944,0.1631,0.3262
2017,Łódzkie,Łódzkie,0.2999,0.7167,0.0308,0.0663,0.3583,0.4191,0.1563,-0.1863,0.7845,0.1602,0.3275
2017,Śląskie,Śląskie,0.3605,0.6977,0.0228,0.0774,0.3497,0.4247,0.1482,-0.2741,0.6227,0.1644,0.3203
2017,Świętokrzyskie,Świętokrzyskie,0.3262,0.7738,0.0443,0.0574,0.318,0.4607,0.1639,-0.1836,0.8016,0.1934,0.2902
2018,Dolnośląskie,Dolnośląskie,0.4971,0.7241,0.0198,0.0559,0.3295,0.4249,0.1886,-0.2095,0.5274,0.1758,0.2922
2018,Kujawsko-Pomorskie,Kujawsko-Pomorskie,0.6804,0.7966,0.0097,0.0557,0.3051,0.414,0.2228,-0.2446,0.3777,0.1211,0.2688
2018,Lubelskie,Lubelskie,0.5245,0.7778,0.0212,0.0735,0.299,0.4346,0.1928,-0.2435,0.5768,0.1797,0.2614
