Rok,KWP,Województwo,target_mortality_rate,male_pct,female_pct,sober_pct,edu_low_pct,edu_mid_pct,edu_higher_pct,edu_unknown_pct,youth_pct,young_adult_pct,middle_age_pct,senior_pct,substances_pct,SES_instability_index,weekend_pct
2017,Dolnośląskie,Dolnośląskie,0.5627,0.8133,0.1867,0.1279,0.0972,0.1471,0.0205,0.7353,0.0614,0.3338,0.422,0.1829,0.491,-0.1688,0.2864
2017,Kujawsko-Pomorskie,Kujawsko-Pomorskie,0.6416,0.8208,0.1792,0.0987,0.1091,0.1455,0.0104,0.7351,0.0468,0.2961,0.4078,0.2468,0.4519,-0.2338,0.3039
2017,Lubelskie,Lubelskie,0.5943,0.8079,0.1921,0.0969,0.1526,0.1867,0.0233,0.6373,0.0539,0.2855,0.4506,0.2101,0.5583,-0.2388,0.2729
2017,Lubuskie,Lubuskie,0.5764,0.809,0.191,0.0764,0.066,0.066,0.0139,0.8542,0.0521,0.3194,0.3958,0.2326,0.4549,-0.1979,0.2569
2017,Mazowieckie,Mazowieckie,0.6712,0.8342,0.1658,0.0897,0.1368,0.1621,0.0308,0.6703,0.058,0.2899,0.4103,0.2409,0.4755,-0.2328,0.2699
2017,Małopolskie,Małopolskie,0.4047,0.6989,0.3001,0.1124,0.1193,0.1681,0.0254,0.6872,0.0762,0.2991,0.4389,0.1838,0.5826,-0.2317,0.2962
2017,Opolskie,Opolskie,0.5385,0.812,0.188,0.1282,0.1453,0.3077,0.0128,0.5342,0.0427,0.3547,0.4615,0.141,0.6838,-0.2137,0.2949
2017,Podkarpackie,Podkarpackie,0.4914,0.8,0.2,0.0966,0.1586,0.2293,0.0259,0.5862,0.0586,0.3241,0.4448,0.1724,0.6759,-0.2483,0.2983
2017,Podlaskie,Podlaskie,0.408,0.7385,0.2615,0.1264,0.1983,0.1494,0.0259,0.6264,0.0833,0.3362,0.4282,0.1494,0.6839,-0.1868,0.3075
2017,Pomorskie,Pomorskie,0.5417,0.7376,0.2624,0.0954,0.1312,0.1073,0.029,0.7325,0.0954,0.3032,0.414,0.184,0.4634,-0.1516,0.2964
2017,Warmińsko-Mazurskie,Warmińsko-Mazurskie,0.4014,0.7567,0.2433,0.1083,0.1634,0.1083,0.0213,0.7069,0.0782,0.3712,0.3961,0.1545,0.6092,-0.167,0.2913
2017,Wielkopolskie,Wielkopolskie,0.6062,0.8274,0.1726,0.087,0.1372,0.2212,0.0133,0.6283,0.0501,0.2965,0.4528,0.1991,0.5074,-0.2802,0.2832
2017,Zachodniopomorskie,Zachodniopomorskie,0.5343,0.794,0.206,0.1223,0.1717,0.1502,0.0172,0.6609,0.0472,0.3133,0.4227,0.2146,0.5944,-0.2103,0.3262
2017,Łódzkie,Łódzkie,0.2999,0.7167,0.2833,0.1239,0.146,0.1515,0.0308,0.6717,0.0663,0.3583,0.4191,0.1563,0.7845,-0.1863,0.3275
2017,Śląskie,Śląskie,0.3605,0.6977,0.3023,0.1548,0.1308,0.1902,0.0228,0.6563,0.0774,0.3497,0.4247,0.1482,0.6227,-0.2741,0.3203
2017,Świętokrzyskie,Świętokrzyskie,0.3262,0.7738,0.2262,0.1639,0.2066,0.3951,0.0443,0.3541,0.0574,0.318,0.4607,0.1639,0.8016,-0.1836,0.2902
2018,Dolnośląskie,Dolnośląskie,0.4971,0.7241,0.2759,0.1339,0.0978,0.1525,0.0198,0.7299,0.0559,0.3295,0.4249,0.1886,0.5274,-0.2095,0.2922
2018,Kujawsko-Pomorskie,Kujawsko-Pomorskie,0.6804,0.7966,0.2034,0.0823,0.1017,0.1041,0.0097,0.7845,0.0557,0.3051,0.414,0.2228,0.3777,-0.2446,0.2688
2018,Lubelskie,Lubelskie,0.5245,0.7778,0.2222,0.0948,0.1569,0.1961,0.0212,0.6258,0.0735,0.299,0.4346,0.1928,0.5768,-0.2435,0.2614
2018,Lubuskie,Lubuskie,0.5204,0.7755,0.2245,0.0918,0.0578,0.0578,0.0068,0.8776,0.0544,0.2925,0.4626,0.1905,0.4864,-0.1769,0.2993
2018,Mazowieckie,Mazowieckie,0.6848,0.8023,0.1977,0.0908,0.1184,0.1362,0.0249,0.7204,0.0561,0.2752,0.423,0.244,0.3909,-0.2404,0.2965
2018,Małopolskie,Małopolskie,0.3853,0.6844,0.3156,0.1384,0.1036,0.1288,0.03,0.7377,0.0755,0.2914,0.4463,0.1839,0.6002,-0.1907,0.3098
2018,Opolskie,Opolskie,0.5524,0.7762,0.2238,0.119,0.1619,0.2619,0.019,0.5571,0.0762,0.2571,0.4333,0.2333,0.6571,-0.3286,0.2714
2018,Podkarpackie,Podkarpackie,0.4611,0.7669,0.2331,0.0912,0.1402,0.2196,0.0236,0.6166,0.0777,0.3294,0.4291,0.1639,0.6486,-0.2162,0.2399
2018,Podlaskie,Podlaskie,0.4017,0.7861,0.2139,0.1243,0.1647,0.0896,0.0087,0.737,0.0751,0.3353,0.4191,0.1705,0.5578,-0.1647,0.2803
